utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651803251,-19,0,8,
1651803253,-19,0,8,0.0
1651803255,-19,0,8,0.0
1651803257,-18,0,7,-0.5
1651803259,-19,0,8,0.5
1651803261,-19,0,8,0.0
1651803263,-20,6,9,0.5
1651803265,-21,6,10,0.5
1651803267,-23,6,13,1.5
1651803269,-21,7,10,-1.5
1651803271,-19,0,8,-1.0
1651803273,-24,0,15,3.5
1651803275,-23,0,13,-1.0
1651803277,-20,0,9,-2.0
1651803279,-23,0,13,2.0
1651803281,-25,0,16,1.5
1651803283,-21,0,10,-3.0
1651803285,-23,4,13,1.5
1651803287,-23,0,13,0.0
1651803289,-20,0,9,-2.0
1651803291,-25,0,16,3.5
1651803293,-23,0,13,-1.5
1651803295,-22,0,12,-0.5
1651803297,-22,0,12,0.0
1651803299,-22,0,12,0.0
1651803301,-19,0,8,-2.0
1651803303,-20,0,9,0.5
1651803305,-24,0,15,3.0
1651803307,-23,0,13,-1.0
1651803309,-20,0,9,-2.0
1651803311,-20,0,9,0.0
1651803313,-23,0,13,2.0
1651803315,-22,0,12,-0.5
1651803317,-23,0,13,0.5
1651803320,-23,0,13,0.0
1651803322,-24,0,15,1.0
1651803324,-26,0,18,1.5
1651803326,-23,1,13,-2.5
1651803328,-22,0,12,-0.5
1651803330,-24,0,15,1.5
1651803332,-22,0,12,-1.5
1651803334,-22,2,12,0.0
1651803336,-20,2,9,-1.5
1651803338,-22,2,12,1.5
1651803340,-23,2,13,0.5
1651803342,-18,0,7,-3.0
1651803344,-20,1,9,1.0
1651803346,-18,1,7,-1.0
1651803348,-21,0,10,1.5
1651803350,-21,0,10,0.0
1651803352,-21,0,10,0.0
1651803354,-19,0,8,-1.0
1651803356,-21,0,10,1.0
1651803358,-24,0,15,2.5
1651803360,-21,0,10,-2.5
1651803362,-24,0,15,2.5
1651803364,-19,0,8,-3.5
1651803366,-19,0,8,0.0
1651803368,-19,0,8,0.0
1651803370,-19,0,8,0.0
1651803372,-20,0,9,0.5
1651803374,-21,0,10,0.5
1651803376,-22,8,12,1.0
1651803378,-20,8,9,-1.5
1651803380,-21,0,10,0.5
1651803382,-20,0,9,-0.5
1651803384,-24,0,15,3.0
1651803386,-20,0,9,-3.0
1651803388,-19,0,8,-0.5
1651803390,-17,0,7,-0.5
1651803392,-19,0,8,0.5
1651803394,-19,0,8,0.0
1651803396,-20,0,9,0.5
1651803398,-21,0,10,0.5
1651803400,-21,7,10,0.0
1651803402,-21,0,10,0.0
1651803404,-23,0,13,1.5
1651803406,-21,0,10,-1.5
1651803408,-21,0,10,0.0
1651803410,-21,0,10,0.0
1651803412,-20,0,9,-0.5
1651803414,-21,0,10,0.5
1651803416,-26,9,18,4.0
1651803418,-26,0,18,0.0
1651803420,-23,0,13,-2.5
1651803422,-24,0,15,1.0
1651803424,-23,0,13,-1.0
1651803426,-24,0,15,1.0
1651803428,-24,13,15,0.0
1651803430,-23,3,13,-1.0
1651803432,-21,3,10,-1.5
1651803434,-21,3,10,0.0
1651803436,-24,3,15,2.5
1651803438,-23,3,13,-1.0
1651803440,-17,3,7,-3.0
1651803442,-25,3,16,4.5
1651803444,-24,3,15,-0.5
1651803446,-25,3,16,0.5
1651803448,-27,3,21,2.5
1651803450,-25,3,16,-2.5
1651803452,-25,3,16,0.0
1651803454,-23,3,13,-1.5
1651803456,-20,3,9,-2.0
1651803458,-24,3,15,3.0
1651803460,-23,3,13,-1.0
1651803462,-24,3,15,1.0
1651803464,-23,3,13,-1.0
1651803466,-22,3,12,-0.5
1651803468,-20,3,9,-1.5
1651803470,-22,3,12,1.5
1651803472,-23,3,13,0.5
1651803474,-24,3,15,1.0
1651803476,-22,3,12,-1.5
1651803478,-20,3,9,-1.5
1651803480,-25,3,16,3.5
1651803482,-24,3,15,-0.5
1651803484,-22,3,12,-1.5
1651803486,-21,3,10,-1.0
1651803488,-23,3,13,1.5
1651803490,-24,3,15,1.0
1651803492,-22,3,12,-1.5
1651803494,-25,3,16,2.0
1651803496,-24,3,15,-0.5
1651803498,-25,3,16,0.5
1651803500,-22,3,12,-2.0
1651803502,-24,3,15,1.5
1651803504,-25,3,16,0.5
1651803506,-24,3,15,-0.5
1651803508,-25,3,16,0.5
1651803510,-22,3,12,-2.0
1651803512,-23,3,13,0.5
1651803514,-14,3,5,-4.0
1651803516,-24,3,15,5.0
1651803518,-20,3,9,-3.0
1651803520,-26,3,18,4.5
1651803522,-25,3,16,-1.0
1651803524,-25,3,16,0.0
1651803526,-25,3,16,0.0
1651803528,-22,3,12,-2.0
1651803530,-23,3,13,0.5
1651803532,-25,3,16,1.5
1651803534,-24,3,15,-0.5
1651803536,-23,3,13,-1.0
1651803538,-22,3,12,-0.5
1651803540,-25,3,16,2.0
1651803542,-25,3,16,0.0
1651803544,-24,3,15,-0.5
1651803546,-23,3,13,-1.0
1651803548,-25,3,16,1.5
1651803550,-24,3,15,-0.5
1651803552,-24,3,15,0.0
1651803554,-25,3,16,0.5
1651803556,-24,3,15,-0.5
1651803558,-18,3,7,-4.0
1651803560,-27,3,21,7.0
1651803562,-24,3,15,-3.0
1651803564,-20,3,9,-3.0
1651803566,-20,3,9,0.0
1651803568,-19,3,8,-0.5
1651803570,-25,3,16,4.0
1651803572,-25,3,16,0.0
1651803574,-25,3,16,0.0
1651803576,-23,3,13,-1.5
1651803578,-24,3,15,1.0
1651803580,-24,3,15,0.0
1651803582,-24,3,15,0.0
1651803584,-24,3,15,0.0
1651803586,-25,3,16,0.5
1651803588,-24,3,15,-0.5
1651803590,-19,3,8,-3.5
1651803592,-26,3,18,5.0
1651803594,-23,3,13,-2.5
1651803596,-20,3,9,-2.0
1651803598,-23,3,13,2.0
1651803600,-23,3,13,0.0
1651803602,-23,3,13,0.0
1651803604,-23,3,13,0.0
1651803606,-24,3,15,1.0
1651803608,-23,3,13,-1.0
1651803610,-27,3,21,4.0
1651803612,-21,3,10,-5.5
1651803614,-25,3,16,3.0
1651803616,-21,3,10,-3.0
1651803618,-23,3,13,1.5
1651803620,-25,3,16,1.5
1651803622,-24,3,15,-0.5
1651803624,-24,3,15,0.0
1651803626,-25,3,16,0.5
1651803628,-25,3,16,0.0
1651803630,-24,3,15,-0.5
1651803632,-23,3,13,-1.0
1651803634,-24,3,15,1.0
1651803636,-22,3,12,-1.5
1651803638,-22,3,12,0.0
1651803640,-24,3,15,1.5
1651803642,-24,3,15,0.0
1651803644,-23,3,13,-1.0
1651803646,-27,3,21,4.0
1651803648,-26,3,18,-1.5
1651803650,-22,3,12,-3.0
1651803652,-22,3,12,0.0
1651803654,-24,3,15,1.5
1651803656,-20,3,9,-3.0
1651803658,-24,3,15,3.0
1651803660,-23,3,13,-1.0
1651803662,-25,3,16,1.5
1651803664,-24,3,15,-0.5
1651803666,-24,3,15,0.0
1651803668,-23,3,13,-1.0
1651803670,-26,3,18,2.5
1651803672,-25,3,16,-1.0
1651803674,-23,3,13,-1.5
1651803676,-24,3,15,1.0
1651803678,-23,3,13,-1.0
1651803680,-22,3,12,-0.5
1651803682,-23,3,13,0.5
1651803684,-23,3,13,0.0
1651803686,-24,3,15,1.0
1651803688,-25,3,16,0.5
1651803690,-20,3,9,-3.5
1651803692,-25,3,16,3.5
1651803694,-24,3,15,-0.5
1651803696,-23,3,13,-1.0
1651803741,-22,0,12,-0.0
1651803743,-23,0,13,0.5
1651803745,-22,0,12,-0.5
1651803747,-22,0,12,0.0
1651803749,-21,0,10,-1.0
1651803751,-22,0,12,1.0
1651803753,-22,0,12,0.0
1651803755,-23,0,13,0.5
1651803757,-22,7,12,-0.5
1651803759,-22,7,12,0.0
1651803761,-25,7,16,2.0
1651803763,-26,0,18,1.0
1651803765,-23,3,13,-2.5
1651803767,-22,3,12,-0.5
1651803769,-23,3,13,0.5
1651803771,-25,3,16,1.5
1651803773,-22,3,12,-2.0
1651803775,-23,3,13,0.5
1651803777,-24,2,15,1.0
1651803779,-16,8,6,-4.5
1651803781,-17,8,7,0.5
1651803783,-16,8,6,-0.5
1651803785,-25,8,16,5.0
1651803787,-22,8,12,-2.0
1651803789,-23,8,13,0.5
1651803791,-26,8,18,2.5
1651803793,-24,8,15,-1.5
1651803795,-24,8,15,0.0
1651803797,-26,8,18,1.5
1651803799,-24,8,15,-1.5
1651803801,-24,8,15,0.0
1651803803,-24,8,15,0.0
1651803805,-23,8,13,-1.0
1651803807,-21,8,10,-1.5
1651803809,-23,8,13,1.5
1651803811,-21,8,10,-1.5
1651803813,-24,8,15,2.5
1651803815,-23,8,13,-1.0
1651803817,-20,8,9,-2.0
1651803819,-22,8,12,1.5
1651803821,-23,8,13,0.5
1651803823,-23,8,13,0.0
1651803825,-18,8,7,-3.0
1651803827,-23,14,13,3.0
1651803829,-23,14,13,0.0
1651803831,-23,14,13,0.0
1651803833,-22,14,12,-0.5
1651803835,-23,14,13,0.5
1651803837,-22,14,12,-0.5
1651803839,-23,14,13,0.5
1651803841,-23,14,13,0.0
1651803843,-21,14,10,-1.5
1651803845,-23,14,13,1.5
1651803847,-24,14,15,1.0
1651803849,-25,2,16,0.5
1651803851,-22,2,12,-2.0
1651803853,-23,2,13,0.5
1651803855,-21,13,10,-1.5
1651803857,-24,3,15,2.5
1651803859,-24,3,15,0.0
1651803861,-22,3,12,-1.5
1651803863,-23,3,13,0.5
1651803865,-22,3,12,-0.5
1651803867,-23,3,13,0.5
1651803869,-23,3,13,0.0
1651803871,-22,3,12,-0.5
1651803873,-23,3,13,0.5
1651803875,-22,3,12,-0.5
1651803877,-21,3,10,-1.0
1651803879,-24,3,15,2.5
1651803881,-24,3,15,0.0
1651803883,-23,3,13,-1.0
1651803885,-25,3,16,1.5
1651803887,-24,3,15,-0.5
1651803889,-25,3,16,0.5
1651803891,-24,3,15,-0.5
1651803893,-22,3,12,-1.5
1651803895,-24,3,15,1.5
1651803897,-25,3,16,0.5
1651803899,-25,3,16,0.0
1651803901,-24,3,15,-0.5
1651803903,-14,3,5,-5.0
1651803905,-13,3,4,-0.5
1651803907,-25,3,16,6.0
1651803909,-17,3,7,-4.5
1651803911,-24,3,15,4.0
1651803913,-28,3,23,4.0
1651803915,-26,3,18,-2.5
1651803917,-22,3,12,-3.0
1651803919,-14,3,5,-3.5
1651803921,-15,3,5,0.0
1651803923,-16,3,6,0.5
1651803925,-16,3,6,0.0
1651803927,-25,3,16,5.0
1651803929,-24,3,15,-0.5
1651803931,-25,3,16,0.5
1651803933,-23,3,13,-1.5
1651803935,-24,3,15,1.0
1651803937,-24,3,15,0.0
1651803939,-25,3,16,0.5
1651803941,-23,3,13,-1.5
1651803943,-22,3,12,-0.5
1651803945,-14,3,5,-3.5
1651803947,-25,3,16,5.5
1651803949,-25,3,16,0.0
1651803951,-25,3,16,0.0
1651803953,-24,3,15,-0.5
1651803955,-25,3,16,0.5
1651803957,-23,3,13,-1.5
1651803959,-23,3,13,0.0
1651803961,-23,3,13,0.0
1651803963,-24,3,15,1.0
