utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651760869,-21,6,10,-3648.5
1651760871,-25,6,16,3.0
1651760873,-26,6,18,1.0
1651760875,-27,6,21,1.5
1651760877,-27,6,21,0.0
1651760879,-26,6,18,-1.5
1651760881,-26,6,18,0.0
1651760883,-25,6,16,-1.0
1651760885,-24,6,15,-0.5
1651760887,-25,6,16,0.5
1651760889,-27,6,21,2.5
1651760891,-27,6,21,0.0
1651760893,-28,4,23,1.0
1651760895,-26,4,18,-2.5
1651760897,-27,6,21,1.5
1651760899,-27,6,21,0.0
1651760901,-25,4,16,-2.5
1651760951,-28,2,23,0.1
1651760953,-26,6,18,-2.5
1651760955,-23,6,13,-2.5
1651760957,-24,6,15,1.0
1651760959,-26,6,18,1.5
1651760961,-25,4,16,-1.0
1651760963,-23,6,13,-1.5
1651760965,-25,6,16,1.5
1651760967,-25,6,16,0.0
1651760969,-24,6,15,-0.5
1651760971,-27,6,21,3.0
1651760973,-27,6,21,0.0
1651760975,-25,6,16,-2.5
1651760977,-25,6,16,0.0
1651760979,-23,6,13,-1.5
1651760981,-24,6,15,1.0
1651760983,-24,2,15,0.0
1651760985,-26,6,18,1.5
1651760987,-26,6,18,0.0
1651760989,-26,6,18,0.0
1651760991,-24,6,15,-1.5
1651760993,-24,2,15,0.0
1651760995,-24,6,15,0.0
1651760997,-27,6,21,3.0
1651760999,-25,4,16,-2.5
1651761001,-25,6,16,0.0
1651761003,-25,6,16,0.0
1651761005,-27,6,21,2.5
1651761007,-26,6,18,-1.5
1651761009,-25,6,16,-1.0
1651761011,-28,6,23,3.5
1651761013,-27,6,21,-1.0
1651761015,-80,4,9198,4588.5
1651761017,-29,6,26,-4586.0
1651761019,-27,6,21,-2.5
1651761021,-27,6,21,0.0
1651761023,-25,6,16,-2.5
1651761025,-24,6,15,-0.5
1651761027,-25,6,16,0.5
1651761029,-28,6,23,3.5
1651761031,-27,6,21,-1.0
1651761033,-26,6,18,-1.5
1651761035,-25,6,16,-1.0
1651761037,-22,6,12,-2.0
1651761039,-27,6,21,4.5
1651761041,-27,6,21,0.0
1651761043,-25,6,16,-2.5
1651761045,-25,6,16,0.0
1651761047,-26,6,18,1.0
1651761049,-28,6,23,2.5
1651761051,-26,6,18,-2.5
1651761053,-26,6,18,0.0
1651761055,-26,6,18,0.0
1651761057,-24,6,15,-1.5
1651761059,-27,6,21,3.0
1651761061,-24,4,15,-3.0
1651761063,-28,4,23,4.0
1651761065,-26,6,18,-2.5
1651761067,-25,6,16,-1.0
1651761069,-26,6,18,1.0
1651761071,-24,6,15,-1.5
1651761073,-31,6,33,9.0
1651761075,-27,6,21,-6.0
1651761077,-27,6,21,0.0
1651761079,-28,6,23,1.0
1651761081,-28,6,23,0.0
1651761083,-29,6,26,1.5
1651761085,-28,6,23,-1.5
1651761087,-28,2,23,0.0
1651761089,-25,6,16,-3.5
1651761091,-29,6,26,5.0
1651761093,-29,6,26,0.0
1651761095,-27,6,21,-2.5
1651761097,-27,6,21,0.0
1651761099,-31,6,33,6.0
1651761101,-28,6,23,-5.0
1651761103,-24,6,15,-4.0
1651761105,-27,6,21,3.0
1651761107,-27,6,21,0.0
1651761109,-28,6,23,1.0
1651761111,-28,4,23,0.0
1651761113,-29,6,26,1.5
1651761115,-27,6,21,-2.5
1651761117,-30,6,29,4.0
1651761119,-30,6,29,0.0
1651761121,-28,4,23,-3.0
1651761123,-28,6,23,0.0
1651761125,-27,6,21,-1.0
1651761127,-26,6,18,-1.5
1651761129,-32,6,37,9.5
1651761131,-27,4,21,-8.0
1651761133,-28,6,23,1.0
1651761135,-26,6,18,-2.5
1651761137,-25,6,16,-1.0
1651761139,-27,6,21,2.5
1651761141,-26,6,18,-1.5
1651761143,-25,6,16,-1.0
1651761145,-26,6,18,1.0
1651761147,-26,6,18,0.0
1651761149,-29,6,26,4.0
1651761151,-28,6,23,-1.5
1651761153,-28,6,23,0.0
